tag,count,ratio
control_over_dynamics,769,0.250407
deferred_initiative,704,0.229241
prophylactic_latent,673,0.219147
neutral_maneuver,645,0.210029
control_file_seal,466,0.151742
constructive_maneuver,463,0.150765
cod_file_seal,353,0.114946
neutral_tension_creation,297,0.096711
structural_integrity,285,0.092804
prophylactic_direct,283,0.092152
maneuver_opening,251,0.081732
control_regroup_consolidate,223,0.072615
tension_creation,218,0.070987
forced_move,214,0.069684
risk_avoidance,212,0.069033
winning_position_handling,208,0.067730
control_plan_kill,179,0.058287
control_king_safety_shell,153,0.049821
initiative_attempt,150,0.048844
structural_compromise_dynamic,134,0.043634
opening_central_pawn_move,129,0.042006
positional_sacrifice,115,0.037447
file_pressure_c,113,0.036796
constructive_maneuver_prepare,108,0.035168
positional_space_sacrifice,107,0.034842
cod_regroup_consolidate,104,0.033865
cod_king_safety_shell,90,0.029306
accurate_knight_bishop_exchange,89,0.028981
control_freeze_bind,63,0.020514
losing_position_handling,58,0.018886
cod_freeze_bind,49,0.015956
failed_maneuver,40,0.013025
misplaced_maneuver,40,0.013025
cod_plan_kill,37,0.012048
structural_compromise_static,36,0.011723
tactical_sacrifice,31,0.010094
control_space_clamp,30,0.009769
prophylactic_meaningless,27,0.008792
positional_structure_sacrifice,25,0.008141
opening_rook_pawn_move,24,0.007815
premature_attack,24,0.007815
tactical_initiative_sacrifice,23,0.007489
inaccurate_knight_bishop_exchange,18,0.005861
bad_knight_bishop_exchange,13,0.004233
prophylactic_failed,12,0.003908
tactical_combination_sacrifice,12,0.003908
missed_tactic,11,0.003582
control_blockade_passed,9,0.002931
cod_blockade_passed,6,0.001954
tactical_sensitivity,6,0.001954
structural_blockage,5,0.001628
speculative_sacrifice,4,0.001303
control_slowdown,2,0.000651
failed_prophylactic,2,0.000651
inaccurate_tactical_sacrifice,2,0.000651
first_choice,1,0.000326
